order_id,order_date,country,product,category,customer_id,quantity,unit_price,sales,is_return
MS-0001,2025-10-01,UK,Notebook,Office,C-001,10,8.5,85.0,false
MS-0002,2025-10-03,France,Pen,Office,C-002,30,1.5,45.0,false
MS-0003,2025-10-11,Germany,Desk Chair,Furniture,C-003,3,65.0,195.0,false
MS-0004,2025-11-02,UK,Monitor,Hardware,C-004,2,120.0,240.0,false
MS-0005,2025-11-05,Germany,Keyboard,Hardware,C-005,5,35.0,175.0,false
MS-0006,2025-11-08,UK,Notebook,Office,C-001,-2,8.5,-17.0,true
MS-0007,2025-11-13,France,Monitor,Hardware,C-006,1,120.0,120.0,false
MS-0008,2025-12-01,UK,Mouse,Hardware,C-007,12,18.0,216.0,false
MS-0009,2025-12-10,France,Notebook,Office,C-002,8,8.5,68.0,false
MS-0010,2025-12-15,Germany,Monitor,Hardware,C-003,2,120.0,240.0,false
